categoria,metrica,valor,unidad
sistema,total_eventos,12312,eventos
planta_principal,nivel_minimo_registrado,0.0,varios
planta_principal,nivel_maximo_registrado,90000,varios
planta_principal,tiempo_bajo_critico,6340.200000013059,varios
planta_principal,numero_quiebres_stock,35,varios
planta_principal,numero_reabastecimientos,34,varios
planta_principal,volumen_total_recibido,1700000.0,varios
planta_principal,volumen_total_suministrado,1783569.5107509557,varios
demanda_regional,demanda_total_generada,2652891.4919987107,varios
demanda_regional,demanda_total_satisfecha,1783569.5107509557,varios
demanda_regional,numero_eventos_demanda,364,varios
demanda_regional,numero_eventos_no_satisfechos,108,varios
demanda_regional,tiempo_acumulado_desabastecimiento,0.0,varios
demanda_regional,poblacion_objetivo,108000,varios
demanda_regional,consumo_per_capita_configurado,24.5,varios
demanda_regional,demanda_base_diaria_calculada,7249.315068493151,varios
demanda_regional,tasa_satisfaccion,67.23115197626117,varios
demanda_regional,demanda_promedio_por_evento,7288.163439556897,varios
demanda_regional,tasa_eventos_no_satisfechos,29.67032967032967,varios
demanda_regional,consumo_per_capita_real,16.514532506953294,varios
demanda_regional,desviacion_consumo_per_capita,7.985467493046706,varios
demanda_regional,factor_estacional_actual,0.9281867679015952,varios
proveedor_principal,eventos_completados,34,varios
proveedor_principal,tiempo_operativo,0.0,varios
proveedor_principal,volumen_total_suministrado,1700000.0,varios
proveedor_principal,reabastecimientos,"[{'tiempo': 298.02461615740185, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 558.2808726021481, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 809.525974115756, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 1133.3467905327643, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 1385.211420403698, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 1607.5200889770356, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 1883.6684871683135, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 2089.0455055259417, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 2420.233821572307, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 2615.9670267230595, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 2921.9883058063933, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 3170.446598318474, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 3404.610837357558, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 3719.7480316843175, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 3904.6033570822856, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 4092.5714993300844, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 4360.316242107181, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 4661.688533398048, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 4864.661251537224, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 5057.1713124601165, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 5338.272277010131, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 5560.614132311865, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 5804.09536613513, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 6002.104974118099, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 6279.232277003911, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 6556.973960239751, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 6743.574896415096, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 7073.9323733802985, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 7366.948435355596, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 7671.351811845279, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 7938.504583848872, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 8166.685555443871, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 8423.336004742769, 'volumen_solicitado': 50000, 'volumen_real': 50000}, {'tiempo': 8591.777720432767, 'volumen_solicitado': 50000, 'volumen_real': 50000}]",varios
camion_chacabuco_001,viajes_completados,632,varios
camion_chacabuco_001,tiempo_total_viaje,5598.466268204495,varios
camion_chacabuco_001,tiempo_total_carga,2127.5481029010693,varios
camion_chacabuco_001,tiempo_total_descarga,691.3147093534258,varios
camion_chacabuco_001,tiempo_inactivo,331.58679760282195,varios
camion_chacabuco_001,volumen_transportado,13552555.000426954,varios
camion_chacabuco_001,utilizacion_temporal,0.9608823151208893,varios
camion_chacabuco_001,tiempo_promedio_ciclo,13.860759493670885,varios
camion_chacabuco_002,viajes_completados,638,varios
camion_chacabuco_002,tiempo_total_viaje,5655.347712489767,varios
camion_chacabuco_002,tiempo_total_carga,2070.514203854976,varios
camion_chacabuco_002,tiempo_total_descarga,707.5324432324568,varios
camion_chacabuco_002,tiempo_inactivo,318.75471919102006,varios
camion_chacabuco_002,volumen_transportado,13678112.054523198,varios
camion_chacabuco_002,utilizacion_temporal,0.9627162510932876,varios
camion_chacabuco_002,tiempo_promedio_ciclo,13.730407523510971,varios
camion_balmaceda_001,viajes_completados,683,varios
camion_balmaceda_001,tiempo_total_viaje,5940.521186633015,varios
camion_balmaceda_001,tiempo_total_carga,1854.200153806413,varios
camion_balmaceda_001,tiempo_total_descarga,606.9509664170712,varios
camion_balmaceda_001,tiempo_inactivo,353.2683438438466,varios
camion_balmaceda_001,volumen_transportado,11985716.429211576,varios
camion_balmaceda_001,utilizacion_temporal,0.9590950121982305,varios
camion_balmaceda_001,tiempo_promedio_ciclo,12.825768667642752,varios
